statistic,cue,band,width_ms,family,value,ci_low,ci_high
E,bd,20-39 ms,pooled,2 excision        D - C,0.0704,0.0418,0.1031
E,bd,20-39 ms,pooled,3 source switch   S - C,0.0773,0.0344,0.1132
E,bd,20-39 ms,pooled,4 authenticity    A - S,0.0635,0.0243,0.0995
M,seg,0-19 ms,0,C,0.0,,
M,seg,0-19 ms,20,C,-0.0045,,
M,seg,0-19 ms,60,C,-0.0113,,
M,seg,0-19 ms,160,C,-0.0149,,
M,seg,0-19 ms,0,D,0.5207,,
M,seg,0-19 ms,20,D,0.4457,,
M,seg,0-19 ms,60,D,0.4952,,
M,seg,0-19 ms,160,D,0.4694,,
M,seg,0-19 ms,0,S,0.5008,,
M,seg,0-19 ms,20,S,0.4147,,
M,seg,0-19 ms,60,S,0.463,,
M,seg,0-19 ms,160,S,0.481,,
M,seg,0-19 ms,0,A,0.5414,,
M,seg,0-19 ms,20,A,0.5465,,
M,seg,0-19 ms,60,A,0.5797,,
M,seg,0-19 ms,160,A,0.579,,
M,seg,20-39 ms,0,C,0.0,,
M,seg,20-39 ms,20,C,-0.0157,,
M,seg,20-39 ms,60,C,-0.0194,,
M,seg,20-39 ms,160,C,-0.0174,,
M,seg,20-39 ms,0,D,0.3073,,
M,seg,20-39 ms,20,D,0.3756,,
M,seg,20-39 ms,60,D,0.4115,,
M,seg,20-39 ms,160,D,0.4457,,
M,seg,20-39 ms,0,S,0.31,,
M,seg,20-39 ms,20,S,0.3512,,
M,seg,20-39 ms,60,S,0.4066,,
M,seg,20-39 ms,160,S,0.4273,,
M,seg,20-39 ms,0,A,0.4301,,
M,seg,20-39 ms,20,A,0.4793,,
M,seg,20-39 ms,60,A,0.5043,,
M,seg,20-39 ms,160,A,0.5201,,
M,bd,0-19 ms,0,C,0.0,,
M,bd,0-19 ms,20,C,-0.0005,,
M,bd,0-19 ms,60,C,0.0409,,
M,bd,0-19 ms,160,C,0.0001,,
M,bd,0-19 ms,0,D,0.5319,,
M,bd,0-19 ms,20,D,0.2232,,
M,bd,0-19 ms,60,D,0.003,,
M,bd,0-19 ms,160,D,0.0012,,
M,bd,0-19 ms,0,S,0.4876,,
M,bd,0-19 ms,20,S,0.2266,,
M,bd,0-19 ms,60,S,0.0407,,
M,bd,0-19 ms,160,S,-0.0018,,
M,bd,0-19 ms,0,A,0.574,,
M,bd,0-19 ms,20,A,0.305,,
M,bd,0-19 ms,60,A,0.1253,,
M,bd,0-19 ms,160,A,0.0222,,
M,bd,20-39 ms,0,C,0.0,,
M,bd,20-39 ms,20,C,0.0058,,
M,bd,20-39 ms,60,C,-0.0083,,
M,bd,20-39 ms,160,C,-0.0207,,
M,bd,20-39 ms,0,D,0.254,,
M,bd,20-39 ms,20,D,0.0392,,
M,bd,20-39 ms,60,D,-0.0177,,
M,bd,20-39 ms,160,D,-0.017,,
M,bd,20-39 ms,0,S,0.2343,,
M,bd,20-39 ms,20,S,0.0552,,
M,bd,20-39 ms,60,S,0.0045,,
M,bd,20-39 ms,160,S,-0.008,,
M,bd,20-39 ms,0,A,0.3256,,
M,bd,20-39 ms,20,A,0.1309,,
M,bd,20-39 ms,60,A,0.0806,,
M,bd,20-39 ms,160,A,0.0028,,
R,seg,M_near,shape,C,+0.011,,
R,seg,M_total,shape,C,+0.038,,
R,seg,M_near,shape,D,+0.054,,
R,seg,M_total,shape,D,+0.249,,
R,seg,M_near,shape,S,+0.076,,
R,seg,M_total,shape,S,+0.077,,
R,seg,M_near,shape,A,+0.053,,
R,seg,M_total,shape,A,+0.144,,
E,seg,M_near,shape,C,+0.007,,
E,seg,M_total,shape,C,+0.124,,
E,seg,M_near,shape,D,+0.047,,
E,seg,M_total,shape,D,+0.254,,
E,seg,M_near,shape,S,+0.072,,
E,seg,M_total,shape,S,+0.348,,
E,seg,M_near,shape,A,+0.064,,
E,seg,M_total,shape,A,+0.270,,
R,bd,M_near,shape,C,+0.025,,
R,bd,M_total,shape,C,+0.105,,
R,bd,M_near,shape,D,+0.060,,
R,bd,M_total,shape,D,+0.517,,
R,bd,M_near,shape,S,+0.028,,
R,bd,M_total,shape,S,+0.135,,
R,bd,M_near,shape,A,+0.066,,
R,bd,M_total,shape,A,+0.292,,
E,bd,M_near,shape,C,+0.039,,
E,bd,M_total,shape,C,+0.209,,
E,bd,M_near,shape,D,+0.401,,
E,bd,M_total,shape,D,+1.034,,
E,bd,M_near,shape,S,+0.366,,
E,bd,M_total,shape,S,+0.846,,
E,bd,M_near,shape,A,+0.438,,
E,bd,M_total,shape,A,+0.829,,
