statistic,cue,band,width_ms,family,value,ci_low,ci_high
E,trajectory,0-19 ms,pooled,4 authenticity    A - S,-0.008,-0.0277,0.0132
E,trajectory,20-39 ms,pooled,1 processing      C - P,0.0204,0.0008,0.0466
E,trajectory,20-39 ms,pooled,2 excision        D - C,0.5474,0.5207,0.5701
E,trajectory,20-39 ms,pooled,3 source switch   S - C,0.583,0.5556,0.6061
E,trajectory,20-39 ms,pooled,4 authenticity    A - S,-0.0028,-0.0248,0.0195
M,codec,0-19 ms,0,C,0.0,,
M,codec,0-19 ms,20,C,-0.0039,,
M,codec,0-19 ms,60,C,0.0232,,
M,codec,0-19 ms,160,C,-0.0081,,
M,codec,0-19 ms,0,D,0.7348,,
M,codec,0-19 ms,20,D,0.2523,,
M,codec,0-19 ms,60,D,0.0533,,
M,codec,0-19 ms,160,D,0.0341,,
M,codec,0-19 ms,0,S,0.7529,,
M,codec,0-19 ms,20,S,0.2785,,
M,codec,0-19 ms,60,S,0.135,,
M,codec,0-19 ms,160,S,0.0656,,
M,codec,0-19 ms,0,A,0.7374,,
M,codec,0-19 ms,20,A,0.2506,,
M,codec,0-19 ms,60,A,0.113,,
M,codec,0-19 ms,160,A,0.0545,,
M,codec,20-39 ms,0,C,0.0,,
M,codec,20-39 ms,20,C,0.0041,,
M,codec,20-39 ms,60,C,0.0259,,
M,codec,20-39 ms,160,C,-0.0145,,
M,codec,20-39 ms,0,D,0.4304,,
M,codec,20-39 ms,20,D,0.0049,,
M,codec,20-39 ms,60,D,0.0267,,
M,codec,20-39 ms,160,D,-0.0207,,
M,codec,20-39 ms,0,S,0.4322,,
M,codec,20-39 ms,20,S,0.0903,,
M,codec,20-39 ms,60,S,0.0935,,
M,codec,20-39 ms,160,S,0.0259,,
M,codec,20-39 ms,0,A,0.4435,,
M,codec,20-39 ms,20,A,0.0592,,
M,codec,20-39 ms,60,A,0.0721,,
M,codec,20-39 ms,160,A,0.0137,,
M,trajectory,0-19 ms,0,C,0.0,,
M,trajectory,0-19 ms,20,C,-0.0128,,
M,trajectory,0-19 ms,60,C,0.003,,
M,trajectory,0-19 ms,160,C,0.0032,,
M,trajectory,0-19 ms,0,D,0.9186,,
M,trajectory,0-19 ms,20,D,0.8061,,
M,trajectory,0-19 ms,60,D,0.594,,
M,trajectory,0-19 ms,160,D,0.3734,,
M,trajectory,0-19 ms,0,S,0.9327,,
M,trajectory,0-19 ms,20,S,0.8464,,
M,trajectory,0-19 ms,60,S,0.6523,,
M,trajectory,0-19 ms,160,S,0.4619,,
M,trajectory,0-19 ms,0,A,0.9181,,
M,trajectory,0-19 ms,20,A,0.8275,,
M,trajectory,0-19 ms,60,A,0.6527,,
M,trajectory,0-19 ms,160,A,0.4629,,
M,trajectory,20-39 ms,0,C,0.0,,
M,trajectory,20-39 ms,20,C,0.0113,,
M,trajectory,20-39 ms,60,C,0.0647,,
M,trajectory,20-39 ms,160,C,0.0055,,
M,trajectory,20-39 ms,0,D,0.8362,,
M,trajectory,20-39 ms,20,D,0.6111,,
M,trajectory,20-39 ms,60,D,0.4868,,
M,trajectory,20-39 ms,160,D,0.3369,,
M,trajectory,20-39 ms,0,S,0.8259,,
M,trajectory,20-39 ms,20,S,0.6411,,
